Cohort,Male_Profile,Female_Profile,Profile_1624,Profile_2534,Profile_3544,Profile_4554,Profile_5564,Profile_65,ABC1_Profile,C2DE_Profile
spy fiction readers,60,40,10,20,20,20,20,10,60,40
superhero fiction readers,60,40,25,30,20,15,7,3,60,40
investment enthusiasts- hedge funds,75,25,5,15,20,25,20,15,85,15
investment enthusiasts,70,30,10,20,25,20,15,10,60,40
investment enthusiasts- mutual funds,60,40,5,20,25,20,20,10,75,25
investment enthusiasts - options,70,30,10,20,25,20,15,10,60,40
cooking enthusiasts- cookware & bakeware,40,60,10,20,20,20,15,15,60,40
keen bbqers,70,30,10,20,25,20,15,10,60,40
on the shopping list- bbq products,70,30,10,20,25,20,15,10,60,40
on the shopping list- biscuit,50,50,10,20,20,20,15,15,60,40
on the shopping list- bread,50,50,10,20,20,20,15,15,60,40
on the shopping list- brownies,40,60,20,25,20,15,10,10,60,40
on the shopping list- cakes,40,60,10,20,20,20,15,15,60,40
on the shopping list- candy & sweets,40,60,20,30,20,15,10,5,60,40
on the shopping list- pizza,50,50,20,30,20,15,10,5,60,40
on the shopping list- cheese & cheesemaking,40,60,10,20,20,20,15,15,60,40
chinese cuisine fans,50,50,15,20,20,15,15,15,60,40
on the shopping list- chocolate,40,60,20,25,20,15,10,10,60,40
on the shopping list- coffee,45,55,10,20,20,15,20,15,60,40
on the shopping list- coffee roasting,60,40,10,20,20,20,20,10,60,40
on the shopping list- condiments & sauces,50,50,10,20,20,20,15,15,60,40
on the shopping list- cookies,45,55,20,25,20,15,10,10,60,40
on the shopping list- crackers,45,55,10,20,20,20,15,15,60,40
on the shopping list- desserts,40,60,20,30,20,15,10,5,60,40
restaurant enthusiasts,50,50,15,25,20,15,15,10,60,40
on the shopping list- energy drinks,65,35,30,25,20,15,7,3,50,50
fast food fans,50,50,20,25,20,15,10,10,50,50
french cuisine fans,40,60,10,20,20,20,15,15,60,40
german cuisine fans,50,50,10,20,20,20,15,15,60,40
greek cuisine fans,50,50,10,20,20,20,15,15,60,40
indian cuisine fans,50,50,15,20,20,15,15,15,60,40
italian cuisine fans,50,50,15,20,20,15,15,15,60,40
japanese cuisine fans,50,50,20,30,20,15,10,5,60,40
on the shopping list- juice,45,55,10,20,20,20,15,15,60,40
korean cuisine fans,40,60,20,30,20,15,10,5,60,40
latin american cuisine fans,50,50,15,20,20,15,15,15,60,40
mexican cuisine fans,50,50,20,25,20,15,10,10,60,40
middle eastern cuisine fans,50,50,15,20,20,15,15,15,60,40
on the shopping list- organic food,40,60,10,20,20,20,15,15,60,40
on the shopping list- pastry,40,60,10,20,20,15,20,15,60,40
on the shopping list- seafood,50,50,10,20,20,20,15,15,60,40
on the shopping list- soft drinks,50,50,20,20,20,15,15,10,60,40
spanish cuisine fans,50,50,15,20,20,15,15,15,60,40
on the shopping list- spirits,60,40,10,20,25,20,15,10,60,40
on the shopping list- tarts & sweet treats,40,60,10,20,20,20,15,15,60,40
on the shopping list- tea,40,60,10,20,20,20,15,15,60,40
thai cuisine fans,50,50,20,30,20,15,10,5,60,40
special day preparation- fireworks,60,40,20,30,20,15,10,5,50,50
special day preparation- flowers,40,60,10,20,20,20,15,15,60,40
special day preparation- party planning,40,60,10,20,20,20,15,15,60,40
special day preparation- wedding & engagement rings,40,60,10,40,25,15,7,3,60,40
fitness fans- activity tracker,50,50,20,30,20,15,10,5,60,40
healthy living- holistic health,40,60,10,20,20,20,15,15,60,40
healthy living- alternative medicine,40,60,10,20,20,20,15,15,60,40
fitness fans- exercise equipment,60,40,10,20,25,20,15,10,60,40
healthy living- nutrition,40,60,10,20,20,20,20,10,60,40
healthy living- physical therapy,40,60,10,20,20,20,15,15,60,40
dieters- weight loss,30,70,10,20,25,20,15,10,60,40
healthy living- female health,5,95,10,20,25,20,15,10,60,40
home comfort prioritisers- air conditioners,60,40,10,20,20,20,20,10,60,40
home comfort prioritisers- air quality & defusers,40,60,10,20,20,20,15,15,60,40
garden living enthusiasts- furniture,40,60,5,15,20,20,20,20,60,40
safety minded- home security,60,40,5,10,15,20,25,25,60,40
gardening fans- hands on landscapers,60,40,5,10,15,20,25,25,60,40
gardening fans- lawn care,60,40,5,10,15,20,25,25,60,40
home design fans- paint,40,60,10,20,20,20,20,10,60,40
rest and relaxation prioritisers- pools and spas,40,60,10,20,20,20,20,10,60,40
smart home enthusiasts,70,30,10,30,25,20,10,5,60,40
home renovators- doors and windows,60,40,5,15,20,25,20,15,60,40
garden living enthusiasts- landscaping,40,60,5,10,15,20,25,25,60,40
home upgraders- microwaves,50,50,10,20,20,20,20,10,60,40
home design fans- bedding,40,60,10,20,20,20,15,15,60,40
bedroom upgraders- bedroom furniture,40,60,10,20,20,20,20,10,60,40
bedroom upgraders- beds & bed frames,40,60,10,20,20,20,20,10,60,40
coffee connoisseurs- coffee maker & espresso machine accessories,60,40,10,20,25,20,15,10,75,25
home design fans- fireplaces,40,60,5,15,20,25,20,15,60,40
home design fans- home office,40,60,10,20,25,20,15,10,60,40
home tech enthusiasts- hydroponics,70,30,10,30,25,20,10,5,60,40
kitchen upgraders- kitchen & bathroom cabinets,40,60,5,15,20,25,20,15,60,40
home design fans- linens,30,70,10,20,20,20,15,15,60,40
cooking enthusiasts- mixer & blender accessories,40,60,10,20,20,20,15,15,60,40
home design fans- nursery,30,70,5,35,30,15,10,5,60,40
home design fans- tableware,30,70,10,20,20,20,15,15,60,40
reviewing outgoings- cable & satellite tv providers,50,50,10,20,20,20,15,15,60,40
cinema goers & film lovers- dvds and videos,60,40,10,20,20,20,15,15,60,40
reading fans,40,60,10,20,20,15,20,15,60,40
health concerned- cancer,45,55,5,10,15,20,25,25,60,40
health concerned- dental health,40,60,10,20,20,20,15,15,60,40
health concerned- diabetes,50,50,5,10,15,20,25,25,60,40
health concerned- throat,45,55,10,20,20,20,15,15,60,40
health concerned- endocrine,40,60,5,10,15,20,25,25,60,40
style minded- eyeglasses & contact lenses,40,60,20,30,20,15,10,5,60,40
glasses wearers,50,50,15,20,20,15,15,15,60,40
health concerned- first aid,40,60,10,20,20,20,15,15,60,40
health concerned- pregnancy,10,90,20,40,30,5,3,2,60,40
health concerned- sexual health,50,50,20,25,20,15,10,10,60,40
health concerned- reproductive health,40,60,10,20,20,20,20,10,60,40
acura fans,70,30,5,15,20,25,20,15,60,40
alfa romeo fans,85,15,5,20,25,20,20,10,75,25
audi fans,75,25,10,20,25,20,15,10,60,40
switzerland interested,50,50,20,25,20,15,10,10,60,40
bmw fans,80,20,10,20,25,20,15,10,75,25
buick fans,70,30,5,10,15,20,25,25,60,40
cadillac fans,70,30,5,10,15,20,25,25,60,40
chevrolet fans,70,30,10,20,25,20,15,10,60,40
chrysler fans,70,30,10,20,20,20,20,10,60,40
citroen fans,80,20,10,20,20,20,20,10,60,40
dodge fans,80,20,10,20,25,20,15,10,50,50
fiat fans,60,40,10,20,20,20,20,10,60,40
ford fans,70,30,10,20,20,20,20,10,60,40
honda fans,60,40,10,20,25,20,15,10,60,40
hyundai fans,60,40,10,20,25,20,15,10,60,40
infiniti fans,70,30,5,15,25,25,20,10,60,40
isuzu fans,80,20,10,20,25,20,15,10,60,40
jaguar fans,80,20,5,15,20,25,20,15,75,25
jeep fans,70,30,10,20,30,20,15,5,60,40
kia fans,60,40,10,20,25,20,15,10,60,40
land rover fans,70,30,5,15,20,25,20,15,60,40
lexus fans,70,30,5,15,20,25,20,15,75,25
lincoln fans,70,30,5,10,15,20,25,25,60,40
maserati fans,85,15,5,15,25,25,20,10,80,20
mazda fans,60,40,10,20,25,20,15,10,60,40
mercedes-benz fans,70,30,5,15,20,25,20,15,80,20
mini fans,60,40,10,20,25,20,15,10,65,35
mitsubishi fans,70,30,10,20,25,20,15,10,60,40
nissan fans,70,30,10,20,25,20,15,10,60,40
peugeot fans,70,30,10,20,25,20,15,10,60,40
porsche fans,85,15,5,15,20,25,20,15,80,20
ram trucks fans,85,15,10,20,25,20,15,10,60,40
renault fans,70,30,10,20,25,20,15,10,60,40
scion fans,70,30,20,30,20,15,10,5,60,40
seat fans,70,30,10,20,30,20,10,10,60,40
subaru fans,70,30,10,20,30,20,10,10,60,40
suzuki fans,70,30,10,20,25,20,15,10,60,40
tesla fans,70,30,15,30,25,15,10,5,60,40
biography readers,40,60,10,15,20,20,20,15,60,40
cookbook readers,30,70,5,15,20,25,20,15,60,40
essay readers,45,55,10,20,20,15,20,15,60,40
infotainment readers,50,50,20,25,20,15,10,10,60,40
memoir readers,40,60,10,15,20,20,20,15,60,40
pursuing personal development- self improvement,50,50,20,30,20,15,10,5,60,40
pursuing personal development- textbooks,40,60,10,20,20,20,20,10,60,40
holiday planners- travel books,40,60,10,20,20,20,15,15,60,40
office managers- office supplies,40,60,5,20,30,25,15,5,60,40
style minded- costumes,40,60,20,30,20,15,10,5,60,40
style minded- dresses,10,90,20,30,20,15,10,5,60,40
style minded- sunglasses,50,50,20,30,20,15,10,5,60,40
pet dog owners- dog training,40,60,10,20,20,20,15,15,60,40
pet dog owners- dog walking,40,60,10,20,20,20,15,15,60,40
potential pet adopters,40,60,20,30,20,15,10,5,60,40
pet owners- finding the right food,40,60,10,20,20,20,15,15,60,40
pet owners- in need of sitters,40,60,10,20,20,20,20,10,60,40
pet owners,45,55,15,20,20,15,15,15,60,40
home movers- moving into rental,50,50,20,30,20,15,10,5,60,40
golf enthusiasts,70,30,5,10,15,20,25,25,60,40
sports players- equipment,70,30,20,30,20,15,10,5,60,40
lottery players,60,40,10,15,20,20,20,15,50,50
aspiring musicians- instruments,60,40,30,25,20,10,10,5,50,50
nike fans,60,40,30,25,20,15,7,3,60,40
louis vuitton fans,40,60,20,30,20,15,10,5,75,25
hermes (fashion) fans,35,65,10,20,25,20,15,10,80,20
gucci fans,40,60,20,30,20,15,10,5,80,20
cartier fans,40,60,10,20,25,20,15,10,80,20
lululemon fans,30,70,20,30,25,15,7,3,60,40
moncler fans,60,40,10,30,25,20,10,5,80,20
chanel fans,30,70,10,20,20,20,20,10,80,20
rolex fans,70,30,5,15,20,25,20,15,80,20
patek philippe fans,85,15,5,10,20,25,25,15,90,10
prada fans,40,60,10,20,25,20,15,10,80,20
chow tai fook fans,30,70,10,20,20,20,20,10,60,40
swarovski fans,30,70,10,20,20,20,15,15,60,40
burberry fans,40,60,20,30,20,15,10,5,75,25
ralph lauren fans,40,60,10,20,20,20,20,10,80,20
polo ralph lauren fans,60,40,10,20,25,20,15,10,75,25
the north face fans,60,40,20,30,25,15,7,3,60,40
levis fans,60,40,20,30,20,15,10,5,60,40
next fans,40,60,20,30,20,15,10,5,60,40
new balance fans,60,40,20,30,20,15,10,5,60,40
michael kors fans,30,70,20,30,20,15,10,5,60,40
skechers fans,40,60,20,30,20,15,10,5,60,40
asos fans,40,60,30,35,20,10,4,1,60,40
coach fans,30,70,10,30,25,20,10,5,75,25
nordstrom fans,30,70,10,20,20,20,20,10,75,25
c&a fans,40,60,20,30,20,15,10,5,60,40
chopard fans,60,40,5,15,20,25,20,15,80,20
dolce & gabbana fans,40,60,20,30,20,15,10,5,75,25
christian louboutin fans,30,70,10,30,25,20,10,5,80,20
omega fans,80,20,5,15,20,25,20,15,85,15
foot locker fans,60,40,30,25,20,15,5,5,50,50
ray-ban fans,60,40,20,30,20,15,10,5,60,40
asics fans,60,40,20,30,25,15,7,3,65,35
christian dior fans,30,70,10,20,20,20,15,15,80,20
dior fans,30,70,10,20,20,20,20,10,80,20
puma fans,60,40,30,25,20,15,5,5,60,40
steve madden fans,30,70,20,30,20,15,10,5,60,40
brunello cucinelli fans,40,60,5,15,20,25,20,15,80,20
american eagle outfitters fans,40,60,35,30,15,10,5,5,60,40
giorgio armani fans,40,60,10,20,20,20,20,10,80,20
armani fans,40,60,10,20,20,20,20,10,80,20
nine west fans,20,80,15,30,25,15,10,5,60,40
fendi fans,40,60,10,20,25,20,15,10,80,20
salvatore ferragamo fans,40,60,10,20,25,20,15,10,80,20
hugo boss fans,60,40,15,30,25,15,10,5,75,25
old navy fans,40,60,20,30,20,15,10,5,60,40
primark fans,30,70,30,30,20,10,5,5,60,40
max mara fans,20,80,10,20,25,20,15,10,75,25
manolo blahnik fans,10,90,5,20,30,25,15,5,80,20
audemars piguet fans,80,20,5,15,25,25,20,10,90,10
diesel fans,85,15,10,20,25,20,15,10,50,50
calvin klein fans,40,60,20,30,20,15,10,5,60,40
net-a-porter fans,20,80,10,30,25,20,10,5,80,20
furla fans,20,80,10,30,25,20,10,5,75,25
gap fans,40,60,20,30,20,15,10,5,60,40
longines fans,80,20,5,15,20,25,20,15,75,25
forever 21 fans,20,80,50,30,10,5,3,2,60,40
stuart weitzman fans,10,90,10,30,25,20,10,5,80,20
sisley fans,10,90,20,30,20,15,10,5,60,40
la liga fans,70,30,20,30,20,15,10,5,60,40
lacrosse fans,60,40,20,30,20,15,10,5,60,40
laser cutting innovators,70,30,10,20,30,20,15,5,60,40
paintball players,85,15,30,35,20,10,4,1,60,40
laser tag players,70,30,40,30,15,10,5,0,60,40
lifelong learners,50,50,10,20,20,20,15,15,60,40
leather artisans,60,40,10,20,20,20,20,10,60,40
lego lovers,70,30,20,30,20,15,10,5,60,40
sociology thinkers,50,50,10,20,20,20,15,15,60,40
ligue 1 fans,70,30,20,30,20,15,10,5,60,40
logistical business planners,60,40,5,20,30,25,15,5,80,20
long-distance runners,60,40,10,20,25,20,15,10,60,40
longboarding lovers,70,30,40,30,15,10,4,1,60,40
magazine addicts,40,60,10,20,20,20,15,15,60,40
mahjong players,40,60,10,15,20,20,20,15,60,40
mlb fans,60,40,15,20,20,15,15,15,50,50
mls fans,70,30,20,30,20,15,10,5,60,40
manga fans,50,50,30,30,20,10,5,5,60,40
martial arts devotees,70,30,20,30,20,15,10,5,60,40
rest and relaxation prioritisers- massage,40,60,10,20,20,20,20,10,60,40
mmos gamers,85,15,40,35,15,5,3,2,50,50
materials engineers,70,30,10,20,25,20,15,10,60,40
math lovers,60,40,20,30,20,15,10,5,60,40
mechanical engineers,87,13,10,30,25,20,10,5,60,40
car fixing & building enthusiasts,90,10,15,25,20,20,15,5,60,40
medical science scholars,40,60,20,30,20,15,10,5,75,25
pursuing personal development- meditation,40,60,10,20,20,20,15,15,60,40
f1 fans,80,20,20,30,25,15,7,3,60,40
metalwork masters,70,30,5,15,20,25,20,15,60,40
pursuing personal development- mindfulness,40,60,10,20,20,20,15,15,60,40
mini golf lovers,50,50,20,20,20,15,15,10,60,40
aircraft modelers,85,15,10,15,20,25,20,10,60,40
model united nations members,50,50,70,20,5,3,1,1,60,40
motorcycle enthusiasts,85,15,10,20,25,20,15,10,60,40
motor sports enthusiasts,85,15,15,30,25,15,10,5,60,40
mountain biking fans,75,25,20,30,25,15,7,3,60,40
mountain climbing buffs,70,30,10,20,30,20,15,5,60,40
mountaineering experts,70,30,5,15,25,25,20,10,80,20
cinema goers & film lovers- film lovers,50,50,20,30,20,15,10,5,60,40
film collectors,70,30,10,20,20,20,15,15,60,40
music fans,50,50,20,25,20,15,10,10,60,40
experience seeker - music festivals,50,50,30,35,20,10,4,1,60,40
music video fans,50,50,30,25,20,10,10,5,60,40
nanotechnology experts,70,30,5,20,30,25,15,5,80,20
nascar fans,75,25,10,20,25,20,15,10,50,50
nba fans,70,30,25,30,20,15,7,3,60,40
nfl fans,60,40,15,20,20,15,15,15,50,50
nhl fans,60,40,20,25,20,15,10,10,50,50
environmental advocates,45,55,20,25,20,15,10,10,60,40
needlepoint crafters,20,80,5,10,15,20,25,25,60,40
netball players,20,80,25,30,20,15,5,5,60,40
daily newspaper readers,50,50,10,15,15,20,20,20,60,40
nightlife fans,55,45,30,35,20,10,4,1,60,40
nippon baseball fans,60,40,20,25,20,15,10,10,50,50
non-fiction readers,50,50,10,15,20,20,20,15,60,40
auto enthusiasts,85,15,10,20,30,20,10,10,60,40
fitness fans- weightlifting,70,30,20,30,25,15,7,3,60,40
online gamers,60,40,35,30,20,10,4,1,50,50
poker players,85,15,20,30,25,15,7,3,60,40
orienteering experts,60,40,15,25,20,20,15,5,60,40
origami artists,40,60,20,25,20,15,10,10,60,40
aspiring magicians,60,40,30,25,20,10,10,5,50,50
pac 12 fans,60,40,20,30,20,15,10,5,60,40
painting fans,40,60,10,20,20,20,15,15,60,40
skydiving daredevils,70,30,20,30,25,15,7,3,60,40
paragliding daredevils,70,30,20,30,25,15,7,3,60,40
experience seeker - parties,50,50,30,35,20,10,5,0,60,40
folk music fans,45,55,10,15,20,20,20,15,60,40
luxury car buyers,60,40,5,15,20,25,20,15,85,15
performance & luxury vehicle enthusiasts,85,15,10,20,25,20,15,10,80,20
performing arts fans,40,60,10,20,20,20,15,15,60,40
stamp collectors,70,30,5,10,15,20,25,25,60,40
philosophy thinkers,60,40,20,30,20,15,10,5,60,40
photography fans,50,50,10,20,20,20,15,15,60,40
fitness fans- physical exercise,60,40,20,30,20,15,10,5,60,40
physics buffs,70,30,20,30,20,15,10,5,60,40
pickleball players,50,50,5,10,15,20,25,25,60,40
fitness fans- pilates,25,75,10,30,25,20,10,5,60,40
experience seeker - plays,40,60,10,20,20,20,15,15,60,40
podcast junkies,50,50,20,30,20,15,10,5,60,40
poetry readers,40,60,15,20,15,15,20,15,60,40
pole dancing enthusiasts,30,70,20,30,25,15,7,3,60,40
political thinkers,60,40,10,20,20,20,15,15,60,40
pop music fans,45,55,20,30,20,15,10,5,60,40
pop culture buffs,50,50,20,30,20,15,10,5,60,40
pottery fans,30,70,10,20,20,20,15,15,60,40
ceramic fans,35,65,10,15,20,20,20,15,60,40
afl fans,60,40,20,25,20,15,10,10,50,50
fitness fans- powerlifting,70,30,20,30,25,15,7,3,60,40
premier league fans,70,30,20,30,20,15,10,5,60,40
printing fans,60,40,10,20,20,20,15,15,60,40
sophisticated marketers,60,40,5,20,30,25,15,5,80,20
chemistry enthusiasts,60,40,20,30,20,15,10,5,60,40
psychology minds,35,65,10,20,20,20,15,15,60,40
public speakers,60,40,5,15,20,25,20,15,75,25
puppetry artists,50,50,10,20,20,20,15,15,60,40
puzzle gamers,45,55,20,25,20,15,10,10,60,40
quilting experts,20,80,5,10,15,20,25,25,60,40
puzzle hobbyists- quizzes,50,50,20,30,20,15,10,5,60,40
pet rabbit owners,35,65,20,30,20,15,10,5,60,40
racing game players,85,15,30,35,20,10,4,1,60,40
racquetball players,60,40,20,30,20,15,10,5,60,40
radio tuners,50,50,10,15,15,20,20,20,60,40
radio-controlled toy collectors,85,15,20,30,25,15,7,3,60,40
rafting adventurers,60,40,20,30,25,15,7,3,60,40
model rail collectors,85,15,5,10,15,20,25,25,60,40
apiring rappers,70,30,50,30,10,5,3,2,40,60
capital raisers,60,40,5,20,25,20,20,10,80,20
strategy gamers,85,15,30,35,20,10,4,1,60,40
record collectors,60,40,10,20,20,20,15,15,60,40
healthy living- reiki,30,70,10,20,20,20,15,15,60,40
religious devotees,50,50,10,15,20,20,20,15,60,40
pet reptile owners,60,40,20,30,20,15,10,5,50,50
research devotees,55,45,10,25,20,15,20,10,75,25
front of house retailers,40,60,20,30,20,15,10,5,60,40
blues music fans,60,40,10,15,20,20,20,15,50,50
r&b music fans,45,55,20,25,20,15,10,10,60,40
robotics enthusiasts,75,25,30,35,20,10,4,1,60,40
earth science devotees,60,40,15,20,20,15,15,15,60,40
mineral collectors,60,40,10,15,20,20,20,15,60,40
rock climbing buffs,60,40,20,30,25,15,7,3,60,40
rock music fans,60,40,20,25,20,15,10,10,50,50
classic rock fans,60,40,10,15,20,20,20,15,50,50
rodeo devotees,60,40,10,20,20,20,20,10,50,50
rpg gamers,60,40,30,35,20,10,4,1,50,50
roller derby fans,40,60,20,30,20,15,10,5,60,40
roller skating fans,40,60,20,30,20,15,10,5,60,40
rugby league fans,70,30,15,20,20,15,15,15,50,50
rugby world cup fans,70,30,10,20,25,20,15,10,60,40
rugby fans,70,30,20,25,20,15,10,10,60,40
bridge players,45,55,5,10,15,20,25,25,60,40
fitness fans- running,50,50,20,30,20,15,10,5,60,40
sailing enthusiasts,70,30,10,15,20,20,20,15,60,40
scouting members,50,50,20,20,20,15,15,10,60,40
scrapbooking hobbyists,20,80,10,20,20,20,20,10,60,40
screenwriters,60,40,10,20,25,20,15,10,75,25
diving devotees,60,40,10,20,25,20,15,10,65,35
scuba diving enthusiasts,65,35,10,20,25,20,15,10,60,40
sculpting fans,50,50,10,20,20,20,15,15,60,40
brand search sophisticates- seo,60,40,10,30,25,20,10,5,75,25
serie a fans,70,30,20,30,20,15,10,5,50,50
sewing specialists,20,80,10,20,20,20,15,15,60,40
shooting sport enthusiasts,85,15,10,20,20,20,15,15,60,40
shuffleboard players,60,40,5,10,15,20,25,25,60,40
religious devotees- sikhism,55,45,20,25,20,15,10,10,50,50
simulation gamers,60,40,20,30,20,15,10,5,60,40
aspiring singers,40,60,30,30,20,10,5,5,60,40
sketching fans,40,60,20,30,20,15,10,5,60,40
skiing lovers,60,40,10,20,25,20,15,10,60,40
slacklining enthusiasts,60,40,30,35,20,10,3,2,50,50
sledding fans,50,50,20,20,20,15,15,10,60,40
sled dog racing fans,60,40,10,20,25,20,15,10,50,50
experience seeker - online casinos & gambling,65,35,10,20,25,20,15,10,50,50
snorkelling fans,50,50,20,25,20,15,10,10,60,40
snowboarding aficionados,70,30,30,40,20,7,2,1,60,40
snowshoeing enthusiasts,50,50,10,20,20,20,20,10,60,40
opera fans,40,60,5,10,15,20,25,25,75,25
soap opera fans,30,70,10,15,20,20,20,15,60,40
softball fans,40,60,20,25,20,15,10,10,60,40
soul music fans,45,55,10,15,20,20,20,15,60,40
audio producers,70,30,10,30,25,20,10,5,60,40
bicycle upgraders,70,30,10,20,30,20,15,5,60,40
speed skating lovers,60,40,20,30,20,15,10,5,60,40
religious devotees- spirituality,40,60,10,20,20,20,15,15,60,40
sports fans,60,40,20,25,20,15,10,10,50,50
sports gamers,85,15,35,30,20,10,4,1,60,40
sports memorabilia collectors,80,20,10,20,25,20,15,10,60,40
sports science enthusiasts,70,30,20,30,20,15,10,5,60,40
squash players,70,30,10,20,25,20,15,10,60,40
microbiology buffs,40,60,20,30,20,15,10,5,60,40
streaming media connoisseurs,50,50,25,30,20,10,10,5,60,40
street style,60,40,35,30,20,10,4,1,60,40
puzzle hobbyists- sudoku,50,50,10,15,20,20,20,15,60,40
survival skills practitioners,70,30,10,20,25,20,15,10,60,40
sustainability champions,40,60,20,30,20,15,10,5,75,25
swimming devotees,50,50,20,20,20,15,15,10,60,40
tai chi practitioners,40,60,10,15,20,20,20,15,60,40
table football players,70,30,20,30,20,15,10,5,60,40
table tennis enthusiasts,60,40,20,30,20,15,10,5,60,40
taekwondo aficionados,60,40,30,25,20,15,7,3,60,40
tapestry creators,30,70,10,20,20,20,15,15,60,40
biology buffs,45,55,20,25,20,15,10,10,60,40
home tech enthusiasts- televisions,70,30,10,20,30,20,10,10,60,40
tennis lovers,50,50,10,20,20,20,15,15,60,40
experience seeker - theatre & musical shows,40,60,10,20,20,20,15,15,60,40
champions league fans,70,30,20,30,20,15,10,5,60,40
euro 2020 fans,60,40,20,30,20,15,10,5,50,50
europa league fans,70,30,20,30,20,15,10,5,60,40
entrepreneurs- venture capital stage,70,30,5,30,35,20,7,3,85,15
dedicated walkers,40,60,10,15,20,20,20,15,60,40
web design aficionados- site development,70,30,20,30,20,15,10,5,60,40
fitness fans- weight training,70,30,20,30,25,15,5,5,60,40
puzzle hobbyists- word games,40,60,10,20,20,15,20,15,60,40
mystery film fans,50,50,15,20,20,15,15,15,60,40
crime film fans,60,40,10,20,20,20,15,15,50,50
documentary film fans,50,50,10,20,20,20,15,15,60,40
documentary fans,50,50,10,15,20,20,20,15,60,40
fantasy film fans,50,50,20,30,20,15,10,5,60,40
horror film fans,50,50,20,30,20,15,10,5,60,40
horror readers,50,50,20,25,20,15,10,10,60,40
musical film fans,40,60,10,20,15,15,20,20,60,40
romance film fans,40,60,20,25,20,15,10,10,60,40
romance readers,20,80,10,20,20,20,15,15,60,40
science fiction readers,60,40,10,20,20,20,15,15,60,40
sci-fi  movies,60,40,20,30,20,15,10,5,50,50
korean film fans,40,60,20,30,20,15,10,5,60,40
thriller film fans,55,45,20,30,20,15,10,5,60,40
realistic fiction readers,40,60,10,20,20,20,15,15,60,40
suspense fans,40,60,10,20,20,20,15,15,60,40
alternative music listeners,50,50,30,25,20,10,10,5,60,40
country music fans,45,55,10,15,20,20,20,15,60,40
heavy metal music fans,70,30,20,30,20,15,10,5,50,50
public radio supporters,45,55,5,10,15,20,25,25,60,40
news radio followers,60,40,5,10,15,20,25,25,60,40
soft rock listeners,40,60,10,15,20,20,20,15,60,40
sports radio fans,75,25,10,20,25,20,15,10,60,40
talk radio enthusiasts,60,40,5,10,15,20,25,25,60,40
chat show fans,40,60,10,15,20,20,20,15,60,40
comedy fans,50,50,20,25,20,15,10,10,60,40
game show fans,50,50,10,15,20,20,20,15,60,40
reality show fans,40,60,20,30,20,15,10,5,60,40
car performance upgraders- engines,85,15,10,30,25,20,10,5,60,40
car design fixers & upgraders- car parts,85,15,10,30,25,20,10,5,60,40
classic car buyers,85,15,5,10,15,20,25,25,60,40
concept car buyers,80,20,5,20,30,25,15,5,75,25
scooter buyers,60,40,25,30,20,10,10,5,60,40
convertible owners,60,40,5,15,20,25,20,15,65,35
crossover owners,50,50,10,20,20,20,15,15,60,40
hatchback owners,60,40,20,30,20,15,10,5,60,40
pickup truck owners,85,15,10,20,25,20,15,10,60,40
skilled accountants,50,50,5,20,25,20,20,10,75,25
needing business advice- management consulting,60,40,5,20,30,25,15,5,75,25
financial planners,60,40,5,15,20,25,20,15,75,25
aspiring actors,50,50,30,40,15,10,3,2,60,40
action figure collectors,80,20,20,30,25,15,7,3,60,40
billiards players,70,30,10,20,20,20,15,15,60,40
action gamers,70,30,30,35,20,10,4,1,60,40
