Cohort,Attribute
anime fans,im - comics & graphic novels for young adults books
anime fans,ls - anime film fans
anime fans,im - anime films
anime film fans,"ls -frequent streamers of science fiction, fantasy, action & anime"
anime film fans,ls - favorite streaming genre - anime
anime film fans,ls - interested in prime video anime movies & tv shows
anime film fans,ls - anime film fans
anime film fans,im - anime films
anniversary celebrators,ls - beauty product gift givers
anniversary celebrators,ls - gift certificate and gift card givers
anniversary celebrators,ls - gift givers
anniversary celebrators,im - gift cards
anniversary celebrators,im - chocolate boxes & gifts
anniversary celebrators,im - chocolate gifts
anniversary celebrators,im - gift wrapping supplies
anniversary celebrators,im - entertaining & special occasions books
anniversary celebrators,im - gift bags
anniversary celebrators,im - sweets gifts
anniversary celebrators,im - gift boxes
anniversary celebrators,im - gift wrapping paper
anniversary celebrators,im - party planning books
apiring rappers,ls - rap and hip-hop music fans
apiring rappers,im - rap and hip-hop music
apiring rappers,ls - hip hop and rap enthusiasts
app obsessed,ls - browsers of amazon.co.uk on android
app obsessed,ls - android os fans
app obsessed,im - apps & games
app obsessed,ls - interested in app  - entertainment
app obsessed,im - entertainment apps
app obsessed,im - kids' apps
app obsessed,im - kids' apps & games
app obsessed,ls - interested in app  - social networking
app obsessed,ls - browsers of amazon.co.uk on iphone
apple fans,im - wearable technology
apple fans,im - apple smartphones
apple fans,im - premium tech products
apple fans,im - mobile phones
apple fans,im - mac accessories
apple fans,ls - browsers of amazon.co.uk on iphone
apple fans,ls - premium products purchasers in consumer electronics
archaeology buffs,im - ancient mayan history books
architects,im - measuring & layout tools
architects,im - architecture books
architects,im - design & decorative arts books
architects,im - interior design & decoration books
architects,im - interior design styles & decor books
armani fans,ls - premium shoppers of fashion (uk)
armani fans,im - men's fashion
armani fans,im - women's fashion
art aficionados,"ls - art, architecture and photography fans"
art aficionados,"im - art, architecture and photography"
art aficionados- learning more,"ls - interested in prime video arts, entertainment and culture movies & tv shows"
art aficionados- learning more,im - art history & criticism books
art aficionados- learning more,im - art history books
art aficionados- learning more,im - other art media & techniques books
art and photography books readers,"im - art, architecture and photography"
art and photography books readers,im - graphic design books
art and photography books readers,im - photography & video books
art and photography books readers,im - art history & criticism books
art and photography books readers,im - art history books
art and photography books readers,im - painting books
art and photography books readers,im - colouring books for grown-ups
art and photography books readers,im - other art media & techniques books
art and photography books readers,im - digital art books
art and theatre fans,"ls - art, architecture and photography fans"
art and theatre fans,ls - performance art and theatre fans
art and theatre fans,im - the performing arts books
art and theatre fans,"im - art, architecture and photography"
art and theatre fans,im - theatre & performance artist biographies books
art and theatre fans,"ls - interested in prime video arts, entertainment and culture movies & tv shows"
art collectors,im - art history & criticism books
art collectors,im - art history books
art fans,"ls - art, architecture and photography fans"
art fans,ls - performance art and theatre fans
art fans,"im - art, architecture and photography"
art fans,"im - children's books on arts, music & photography"
art fans,im - other art media & techniques books
art fans,im - arts and crafts
art fans,im - handmade artwork
art fans,im - handmade prints
artistic engravers,im - handmade prints
artistic engravers,im - handmade signs & plaques
arts and culture show fans,ls - indie and arthouse film fans
arts and culture show fans,"ls - musicals, dance and theatre film fans"
arts and culture show fans,ls -frequent streamers of special interest & documentary
arts and culture show fans,ls - entertainment enthusiasts
arts and culture show fans,"ls - art, architecture and photography fans"
arts and culture show fans,ls - performance art and theatre fans
arts and culture show fans,ls - entertainment enthusiasts high frequency
arts and culture show fans,ls - interested in imdb music movies & tv shows
arts and culture show fans,im - the performing arts books
arts and culture show fans,"im - art, architecture and photography"
arts and culture show fans,im - theatre & performance artist biographies books
arts and culture show fans,"ls - interested in prime video arts, entertainment and culture movies & tv shows"
arts and culture show fans,im - art history & criticism books
arts and culture show fans,im - art history books
arts and culture show fans,im - other art media & techniques books
arts and culture show fans,im - arts and crafts
arts and culture show fans,ls - favorite streaming genre - arthouse
arts and culture show fans,ls - interested in prime video art house movies & tv shows
arts and culture show fans,im - music and entertainment tv shows
asia interested,im - history of asia books
asian cuisine fans,im - food reference & gastronomy books
asian cuisine fans,im - food & drink
asian cuisine fans,im - indian food & drink books
asics fans,im - men's sports and outdoor shoes
asics fans,im - women's sports and outdoor shoes
asics fans,im - men's athletic socks
asics fans,im - men's running clothing
asics fans,im - men's running shoes
asics fans,im - runners
asics fans,im - men's road running shoes
asics fans,im - women's running shoes
asics fans,im - footwear
asics fans,im - men's basketball shoes
asics fans,im - men's tennis shoes
asics fans,im - men's track and field shoes
asos fans,im - men's fashion
asos fans,im - women's fashion
aspiring actors,im - actors & entertainers biographies books
aspiring artists,im - photo studio accessories
aspiring artists,im - other art media & techniques books
aspiring artists,im - arts and crafts
aspiring authors,im - writing reference books
aspiring composers,im - music styles books
aspiring composers,im - recording & computer
aspiring composers,ls - music learners
aspiring composers,"im - music theory, composition & performance books"
aspiring composers,ls - classical music fans
aspiring composers,im - classical music
aspiring composers,im - piano & keyboard
aspiring djs- equipment,im - musical instruments and dj equipment
aspiring djs- equipment,im - recording & computer
aspiring djs- equipment,im - premium headphones and speakers
aspiring djs- equipment,im - studio headphones
aspiring djs- equipment,im - dj headphones
aspiring djs- equipment,im - electronic and dance music
aspiring djs- equipment,im - speaker cables
aspiring djs- equipment,im - speakers and docking stations
aspiring djs- equipment,im - pa & stage equipment
aspiring drummers,im - musical instruments books
aspiring drummers,im - drums & percussion
aspiring entrepreneurs- business creation,im - business and finance books
aspiring entrepreneurs- business creation,im - business & finance textbooks
aspiring entrepreneurs- business creation,im - business economics books
aspiring entrepreneurs- business creation,im - professional finance books
aspiring entrepreneurs- business creation,ls - b2b - amazon business - business with 1-10 employees
aspiring entrepreneurs- business creation,ls - b2b - amazon business - business with 1-3 employees
aspiring entrepreneurs- business creation,ls - b2b - amazon business - business with 1 employee
aspiring entrepreneurs- business creation,ls - b2b - amazon business - low revenue
aspiring entrepreneurs- business creation,ls - b2b - amazon business - business products and services business
aspiring entrepreneurs- business creation,ls - b2b - amazon business - business with more than 50 employees
aspiring entrepreneurs- business creation,im - business and office software
aspiring entrepreneurs- business creation,ls - b2b - amazon business - business members
aspiring entrepreneurs- business creation,ls - b2b - business owners
aspiring filmmakers- editing,im - recording & computer
aspiring filmmakers- editing,im - photo & video apps
aspiring filmmakers- hardware,im - photography & video books
aspiring filmmakers- hardware,im - camcorder accessories
aspiring filmmakers- hardware,im - camera & camcorder batteries
aspiring filmmakers- hardware,ls - frequent shoppers - camera & photos
aspiring filmmakers- hardware,ls - dslr enthusiasts
aspiring filmmakers- hardware,im - camcorders
aspiring filmmakers- hardware,im - dslr cameras
aspiring filmmakers- hardware,"im - camcorder, camera & binocular straps"
aspiring filmmakers- hardware,im - external tv tuners & video capture cards
aspiring filmmakers- hardware,im - action cameras
aspiring filmmakers- hardware,ls - digital camera - new to category browsers
aspiring filmmakers- hardware,ls - digital cameras - new to category
aspiring financial professionals,im - business and finance books
aspiring financial professionals,im - professional finance books
aspiring financial professionals,"ls - b2b - amazon business - finance, insurance and real estate business"
aspiring guitarists,ls - musicians
aspiring guitarists,im - music books
aspiring guitarists,im - music styles books
aspiring guitarists,im - musical instruments books
aspiring guitarists,im - electro-acoustic guitars
aspiring international studiers,ls - language learners
aspiring inventors,im - engineering & technology books
aspiring magicians,im - fantasy & magic for children books
aspiring multi-linguists,ls - language learners
aspiring multi-linguists,im - foreign language books
aspiring musicians,im - musical instruments and dj equipment
aspiring musicians,ls - musicians
aspiring musicians,im - music books
aspiring musicians,im - music styles books
aspiring musicians,im - musical instruments books
aspiring musicians,ls - music learners
aspiring musicians,"im - music theory, composition & performance books"
aspiring musicians,im - studio headphones
aspiring musicians,im - drums & percussion
aspiring musicians,im - electro-acoustic guitars
aspiring musicians,im - piano & keyboard
aspiring musicians- instruments,im - musical instruments and dj equipment
aspiring musicians- instruments,im - music books
aspiring musicians- instruments,im - musical instruments books
aspiring musicians- instruments,im - ukulele
aspiring musicians- instruments,im - drums & percussion
aspiring musicians- instruments,im - electro-acoustic guitars
aspiring musicians- instruments,im - piano & keyboard
aspiring singers,ls - musicians
aspiring singers,im - music styles books
aspiring singers,ls - music learners
astrology believers,im - new age books
athletes & sports professionals,im - women's sports and outdoor shoes
athletes & sports professionals,im - men's running clothing
athletes & sports professionals,im - men's running shoes
athletes & sports professionals,im - fitness & exercise books
athletes & sports professionals,im - sports & entertainment industry books
athletes & sports professionals,im - women's sports apparel
athletes & sports professionals,im - women's sports clothing accessories
athletes & sports professionals,im - men's sports clothing base layers & compression
athletes & sports professionals,im - men's track and field shoes
audemars piguet fans,im - watch boxes
audemars piguet fans,im - women's pocket & fob watches
audemars piguet fans,"im - luxury watches, loose gemstones & diamonds"
audemars piguet fans,im - watches
audi fans,ls - audi owners eu
audi fans,ls - audi owners
audi fans,ls - audi a4 owners
audio producers,im - recording & computer
audio producers,im - premium headphones and speakers
audio producers,im - studio headphones
audio producers,im - pa & stage equipment
audit professionals,im - professional finance books
augmented reality interested,im - wearable technology
augmented reality interested,im - entertainment apps
auto employees,ls - b2b - amazon business - automotive business
auto enthusiasts,ls - car fans
auto enthusiasts,ls - luxury vehicle owner lookalikes
auto racing enthusiasts,ls - amazon video motor sport fans
auto racing enthusiasts,im - racing games
auto racing enthusiasts,ls - formula one and motor racing enthusiasts
auto racing enthusiasts,im - formula 1 books and dvds
auto show enthusiasts,ls - car fans
autobiography readers,im - biography books
autobiography readers,im - biographies books
autobiography readers,im - non-fiction books
autobiography readers,"im - essays, journals & letters books"
baby & toddler entertainment,im - toys and games
baby & toddler entertainment,im - parenting products
baby & toddler entertainment,ls - budget shoppers of toys and games  (uk)
baby & toddler entertainment,im - indoor toys and games
baby & toddler entertainment,im - baby products
baby & toddler entertainment,ls - premium shoppers of toys and games (uk)
baby & toddler entertainment,ls - pretend play toy shoppers
baby & toddler entertainment,ls - frequent shoppers - toys
baby & toddler entertainment,ls - discount shoppers of toys and games (uk)
baby & toddler entertainment,im - kids' art & craft supplies
baby & toddler entertainment,"im - activities, crafts & games for children books"
baby & toddler entertainment,im - kids' play figures
baby & toddler entertainment,im - soft toys
baby & toddler entertainment,im - activity books for children
baby & toddler entertainment,im - baby & toddler toys
baby & toddler entertainment,im - baby and toddler toys
baby & toddler entertainment,im - kids' play cosmetics & jewellery
baby & toddler entertainment,im - nursery products
baby & toddler entertainment,im - kids' craft kits
baby & toddler entertainment,im - kids' play vehicles
baby & toddler entertainment,im - pretend play toys
baby & toddler entertainment,im - baby soothers and teethers
baby & toddler entertainment,im - early development & activity toys
baby & toddler entertainment,im - electronic toys
baby & toddler entertainment,im - kids' drawing & painting supplies
baby & toddler entertainment,im - kids' electric learning toys
baby & toddler entertainment,im - toys
baby & toddler entertainment,im - baby activity and entertainment
baby & toddler entertainment,"im - sorting, stacking & plugging toys"
baby & toddler entertainment,im - squeeze toys
baby & toddler entertainment,im - kids' apps
baby & toddler entertainment,im - kids' colouring pens & markers
baby & toddler entertainment,im - spelling toys & sets
baby & toddler entertainment,im - kitchen & food toys
baby & toddler entertainment,im - kids' play animal figures
baby & toddler entertainment,im - kids' toy figure playsets
baby & toddler entertainment,im - kids' toy vehicle playsets
baby & toddler entertainment,im - play food
baby & toddler entertainment,im - baby toys
baby & toddler entertainment,im - toy kitchen playsets
baby & toddler entertainment,im - playmats & floor gyms
baby & toddler entertainment,im - educational toys
baby & toddler entertainment,im - kids' swim rings
baby & toddler entertainment,im - household toys
baby & toddler entertainment,im - kids' drawing & writing boards
baby & toddler entertainment,im - kids' play dinosaur & prehistoric creature figures
baby & toddler entertainment,im - kids' playhouses
baby & toddler entertainment,im - toddler products
baby & toddler fashion,im - parenting products
baby & toddler fashion,im - baby products
baby & toddler fashion,im - children's apparel
baby & toddler fashion,ls - budget shoppers of baby products (uk)
baby & toddler fashion,ls - discount shoppers of baby products (uk)
baby & toddler fashion,im - baby apparel
baby & toddler fashion,im - blankets & swaddlers
baby & toddler fashion,im - pushchairs and accessories
baby & toddler fashion,im - toddler products
baby & toddler fashion,ls - baby products purchasers - new to category
baby & toddler food,im - baby nursing and feeding
baby & toddler food,im - baby soothers and teethers
baby & toddler food,ls - baby & toddler feeding supplies - new to category
baby & toddler food,im - toddler products
baby & toddler food,ls - baby products purchasers - new to category
bachelor party planners,im - novelty & gag toys
bachelorette party planners,im - women's cocktail dresses
bachelorette party planners,im - party planning books
backgammon players,"im - board, card and casino games"
backgammon players,im - board games
backpackers,im - travel and holiday books
backpackers,im - travel & tourism books
backpackers,im - camping & hiking hydration products
backpackers,im - travel accessories
backpackers,im - backpacks
backpackers,im - travel books
backpackers,im - camp kitchen equipment
backpackers,im - camping lights & lanterns
backpackers,im - camping & hiking footwear
backpackers,im - travel photography books
backpackers,im - camping & hiking water storage
backpackers,im - backpacking stoves
backpackers,im - camping & hiking sleeping blankets
balenciaga fans,ls - premium shoppers of fashion (uk)
balenciaga fans,im - men's accessories
balenciaga fans,im - men's fashion
balenciaga fans,im - women's fashion
balmain fans,ls - premium shoppers of fashion (uk)
balmain fans,im - men's fashion
balmain fans,im - women's fashion
barbershop music fans,im - traditional & vocal pop music
base jumping daredevils,im - extreme sports books
basic medicine scholars,"im - medication, remedies and dietary supplements"
basketball fans- attendees,im - basketball
basketball fans- attendees,im - men's basketball shoes
batchelorette party planners,im - novelty & gag toys
bath & body product prioritisers,im - bath and body
bath & body product prioritisers,im - bath and shower products
bath & body product prioritisers,im - shampoos & conditioners
bath & body product prioritisers,im - bath sets
bath & body product prioritisers,im - bathing cleansers
bath & body product prioritisers,im - shampoos
bath & body product prioritisers,im - bath additives
bath & body product prioritisers,im - body lotions
bath & body product prioritisers,ls - bath & body gift sets - new to category
bath & body product prioritisers,ls - beauty products purchasers - new to category
beatboxing fans,im - electronic and dance music
beatboxing fans,im - rap and hip-hop music
bedroom upgraders- bedroom furniture,im - home furniture
bedroom upgraders- bedroom furniture,im - furniture hardware
bedroom upgraders- beds & bed frames,im - bedding
bedroom upgraders- beds & bed frames,im - home furniture
bedroom upgraders- mattresses,im - bedding
bedroom upgraders- mattresses,LS - Recent Movers (1 Month)
beekeepers,im - beekeeping supplies
beer tasting aficionados,im - beer
beer tasting aficionados,im - bitter & ale
beer tasting aficionados,im - beer hampers
beer tasting aficionados,im - beer & wine storage & dispensers
bicycle upgraders,im - bike accessories
bicycle upgraders,im - cycling clothing
bicycle upgraders,im - men's cycling clothing
bicycle upgraders,im - bike components & parts
bicycle upgraders,im - cycling lights & reflectors
bicycle upgraders,im - cycling gps units
biography readers,im - biography books
biography readers,im - actors & entertainers biographies books
biography readers,im - historical biographies books
biography readers,im - theatre & performance artist biographies books
biography readers,im - biographies books
biography readers,im - sports biographies books
biography readers,im - non-fiction books
biography readers,im - biographies for children books
biography readers,im - political biographies books
biography readers,"im - essays, journals & letters books"
biography readers,im - political leader biographies books
biography readers,im - football biographies books
biography readers,im - biographies for young adults books
biology buffs,im - science and nature books
biology buffs,im - biological sciences books
biology buffs,ls - popular science book shoppers
biology buffs,im - medicine books
biology buffs,im - medicine textbooks
biology buffs,im - popular science books
biology buffs,im - immunology books
biology buffs,im - a-levels biology books
biology buffs,im - genetics books
biotech experts,im - immunology books
biotech experts,im - genetics books
birdwatching buffs,"im - binoculars, telescopes & optics"
birdwatching buffs,im - binoculars
birdwatching buffs,im - birdwatching books
birthday celebrators,ls - gift givers
birthday celebrators,im - gift cards
birthday celebrators,im - gift cards & gift vouchers
birthday celebrators,im - gift wrapping supplies
birthday celebrators,im - kids' party decorations
birthday celebrators,im - entertaining & special occasions books
birthday celebrators,im - gift bags
birthday celebrators,im - kids' party balloons
birthday celebrators,ls - gift givers in toys
birthday celebrators,im - kids' party favours
birthday celebrators,"im - kids' party banners, streamers & confetti"
birthday celebrators,im - kids' party bags
birthday celebrators,im - gift wrapping paper
birthday celebrators,im - party planning books
birthday celebrators,ls - gift givers in video games
blues music fans,ls - blues music fans
bmw fans,ls - bmw owners eu
bmw fans,ls - bmw owners
bmw fans,ls - bmw 3 owners
bmw fans,ls - bmw 5 owners
bmx enthusiasts,im - bike accessories
bmx enthusiasts,im - bike components & parts
bmx enthusiasts,im - extreme sports books
board games players,im - indoor toys and games
board games players,im - jigsaws & puzzles
board games players,im - hobbies & games books
board games players,"im - board, card and casino games"
board games players,ls - frequent shoppers - games
board games players,im - traditional tabletop games
board games players,im - kids' apps & games
board games players,ls - interested in app  - games: board
board games players,im - board game apps
board games players,im - children's games
board games players,im - indoor games books
board games players,im - jigsaws and puzzles
board games players,im - board games
boating aficionados,im - water sports
boating aficionados,im - lifejacket for dogs
boating aficionados,ls - boating enthusiasts
body art fans,im - body jewellery
body art fans,im - body paint
bollywood film fans,ls - international film fans
bollywood film fans,im - world cinema films
book & media publishers,im - writing reference books
book & media publishers,im - communication studies books
book & media publishers,im - media & communication industries books
book & media publishers,im - sports & entertainment industry books
book club members,ls - book enthusiasts
book club members,ls - serious readers
book club members,im - books
book collectors,ls - bookworms
book collectors,ls - book enthusiasts
book collectors,ls - serious readers
book collectors,im - books
book collectors,im - antique products
book collectors,im - poetry books
book collectors,ls - interested in app - books & comics
book collectors,im - history of books
book restoration artists,im - antique products
book restoration artists,im - history of books
boots - female fans,im - women's boots
boots - female fans,im - footwear
boots - male fans,im - men's boots
boots - male fans,im - footwear
botanists,im - gardening books
bottega veneta fans,im - men's fashion
bottega veneta fans,im - women's fashion
bottega veneta fans,im - women's handbags
bottega veneta fans,im - women's hobos and shoulder bags
bottega veneta fans,im - women's top-handle bags
bottega veneta fans,im - bags and accessories
boxing aficionados,im - boxing equipment
boxing aficionados,ls - wresting and martial arts fans
brand trialers,im - food & drink
breakdance admirers,im - electronic and dance music
breguet fans,im - men's wrist watches
breguet fans,im - watch boxes
breguet fans,im - women's pocket & fob watches
breguet fans,"im - luxury watches, loose gemstones & diamonds"
breguet fans,im - watches
bridge players,im - card games
bridge players,"im - board, card and casino games"
bridge players,ls - interested in app  - games: cards
british cuisine fans,im - festive & seasonal dishes books
british cuisine fans,im - food & drink
british cuisine fans,im - european cooking
british cuisine fans,im - british food & drink books
british show fans,ls - british film fans
british show fans,im - british detective stories books
british show fans,ls - british comedy fans
british show fans,ls - drama tv shows
broadcasters,im - pa & stage equipment
browser games players,ls - interested in app  - games: arcade
browser games players,ls - interested in app  - puzzles & trivia
browser games players,im - pc downloadable content
brunello cucinelli fans,ls - premium shoppers of fashion (uk)
brunello cucinelli fans,im - men's fashion
budget accessory wearers- female,im - women's accessories
budget accessory wearers- male,im - men's accessories
budget bag and wallet buyers- male,ls - budget shoppers of fashion  (uk)
budget bag and wallet buyers- male,im - casual daypacks
budget bag and wallet buyers- male,im - men's wallets
budget bag and wallet buyers- male,"im - men's wallets, card cases & money organizers"
budget bath & body product prioritisers,ls - budget shoppers of hair care (uk)
budget bath & body product prioritisers,im - bath and body
budget bath & body product prioritisers,im - bath and shower products
budget bath & body product prioritisers,im - shampoos & conditioners
budget bath & body product prioritisers,im - shampoos
budget bath & body product prioritisers,im - bath additives
budget bath & body product prioritisers,im - shower gels
budget bath & body product prioritisers,im - body lotions
budget bath & body product prioritisers,im - hand & nail creams
budget bath & body product prioritisers,ls - bath & body gift sets - new to category
budget bath & body product prioritisers,im - shampoo & conditioner sets
budget business dressers- female,ls - budget shoppers of fashion  (uk)
budget business dressers- female,"im - women's tops, t-shirts & blouses"
budget business dressers- female,im - women's dresses
budget business dressers- female,im - women's jackets
budget business dressers- female,im - women's long sleeve tops
budget business dressers- male,im - men's accessories
budget business dressers- male,im - men's fashion
budget business dressers- male,"im - men's tops, t-shirts & shirts"
budget business dressers- male,im - men's jackets
budget business dressers- male,im - men's trousers
budget car buyers,ls - pickup vehicle owners
budget casual dressers- female,ls - budget shoppers of fashion  (uk)
budget casual dressers- female,im - clothing
budget casual dressers- female,im - women's fashion
budget casual dressers- female,im - women's jumpers
budget casual dressers- female,"im - women's tops, t-shirts & blouses"
budget casual dressers- female,im - women's t-shirts
budget casual dressers- female,im - women's long sleeve tops
budget casual dressers- female,im - women's casual dresses
budget casual dressers- female,im - women's skirts
budget casual dressers- female,im - women's sweatshirts
budget casual dressers- male,ls - budget shoppers of fashion  (uk)
budget casual dressers- male,im - clothing
budget casual dressers- male,im - men's fashion
budget casual dressers- male,"im - men's tops, t-shirts & shirts"
budget casual dressers- male,im - men's t-shirts
budget casual dressers- male,im - men's sweatshirts
budget dressers- female,ls - budget shoppers of fashion  (uk)
budget dressers- female,im - women's apparel
budget dressers- female,im - women's fashion
budget dressers- female,im - women's jumpers
budget dressers- female,im - women's jackets
budget dressers- female,im - women's long sleeve tops
budget dressers- female,im - women's skirts
budget dressers- female,im - women's sweatshirts
budget dressers- male,ls - budget shoppers of fashion  (uk)
budget dressers- male,im - men's apparel
budget dressers- male,im - clothing
budget dressers- male,im - men's fashion
budget dressers- male,im - men's hoodies & sweatshirts
budget dressers- male,"im - men's tops, t-shirts & shirts"
budget dressers- male,im - men's hoodies
budget dressers- male,im - men's t-shirts
budget dressers- male,im - men's sweatshirts
budget dressers- male,im - men's jumpers
budget formal dressers- female,im - women's fashion
budget formal dressers- female,im - women's dresses
budget formal dressers- female,im - women's cocktail dresses
budget formal dressers- male,ls - budget shoppers of fashion  (uk)
budget formal dressers- male,"im - men's tops, t-shirts & shirts"
budget formal dressers- male,im - men's jackets
budget formal dressers- male,im - men's trousers
budget fragrance product prioritisers,im - women's fragrances
budget fragrance product prioritisers,im - men's fragrances
budget fragrance product prioritisers,im - fragrances
budget fragrance product prioritisers,im - men's fragrance sets
budget glasses wearers,im - men's eyewear & accessories
budget glasses wearers,im - reading glasses
budget glasses wearers,im - men's sunglasses
budget glasses wearers,im - eyewear and accessories
budget glasses wearers,im - women's glasses chains & lanyards
budget handbag buyers- female,im - women's accessories
budget hat buyers- female,im - women's hats & caps
budget hat buyers- female,im - headbands
budget hat buyers- female,im - women's skullies & beanies
budget jewellery buyers- female,im - women's jewellery
budget jewellery buyers- female,im - jewellery
budget jewellery buyers- female,im - women's accessories
budget jewellery buyers- female,im - novelty jewellery
budget jewellery buyers- female,im - women's earrings
budget jewellery buyers- female,im - women's necklaces
budget jewellery buyers- female,im - jewellery accessories
budget jewellery buyers- female,im - women's bracelets
budget jewellery buyers- female,im - jewelry boxes & organisers
budget jewellery buyers- female,im - novelty bracelets
budget jewellery buyers- female,im - body jewellery
budget jewellery buyers- female,im - novelty necklaces & pendants
budget jewellery buyers- female,im - novelty pendants & coins
budget jewellery buyers- female,im - jewellery pouches
budget jewellery buyers- female,im - novelty charms
budget jewellery buyers- female,im - women's rings
budget jewellery buyers- male,im - jewellery
budget jewellery buyers- male,im - jewellery accessories
budget jewellery buyers- male,im - novelty bracelets
budget jewellery buyers- male,im - jewellery pouches
budget jewellery buyers- male,im - watches
budget jewellery buyers- male,im - women's rings
budget makeup & cosmetic product prioritisers,ls - budget shoppers of cosmetics and beauty accessories  (uk)
budget makeup & cosmetic product prioritisers,ls - discount shoppers of cosmetics and beauty accessories (uk)
budget makeup & cosmetic product prioritisers,ls - make-up - new to category
budget makeup & cosmetic product prioritisers,im - eye make-up
budget makeup & cosmetic product prioritisers,im - face make-up
budget makeup & cosmetic product prioritisers,im - lip makeup
